papers,citations_all,citations_self,hindex_external,hindex_both
2,20,0,1.65,1.58
178,9001,747,32.49,39.17
43,412,16,7.7,8.13
31,809,45,10.31,10.72
57,1878,157,13.24,16.18
10,173,21,7.57,7.63
241,7959,679,28.71,33.19
21,377,77,6.93,6.25
107,2469,190,20.02,21.36
143,7257,415,27.48,33.15
99,2845,355,18.66,21.83
97,5010,381,18.86,22.78
67,2640,369,17.42,21.08
277,13524,1026,40.62,46.81
33,488,30,7.5,7.7
168,5104,496,23.53,27.31
446,16514,2513,47.78,55.49
216,7031,753,29.02,32.62
1,78,0,1.0,1.0
132,4684,531,19.69,22.73
224,7437,549,29.16,33.5
17,169,20,6.7,6.67
76,4236,276,14.19,14.89
158,5919,376,23.17,26.46
74,3693,559,19.56,23.36
127,4827,279,27.86,31.53
129,6731,743,26.43,32.32
138,3754,522,23.64,25.69
226,9575,936,29.54,34.91
2,100,1,2.0,2.0
263,10870,838,34.98,39.07
205,5418,510,30.15,32.73
152,2492,486,18.32,19.18
28,628,39,9.59,9.56
117,2674,442,22.4,24.77
66,1409,152,14.24,15.31
339,15568,1245,38.68,47.45
259,11318,1204,38.29,45.06
62,2668,143,16.34,17.11
22,290,27,6.59,5.91
147,4718,251,26.28,28.47
231,5414,859,27.92,31.51
2,100,1,2.0,2.0
224,7631,898,27.81,31.47
130,15718,714,22.69,30.94
31,897,97,6.23,6.71
13,140,11,3.82,3.64
3,17,0,1.95,1.88
17,127,21,4.72,4.81
131,2340,218,18.08,19.73
10,428,1,3.63,3.54
104,6975,492,23.94,29.33
197,13274,945,34.28,40.38
196,18998,880,37.0,46.3
142,6162,469,23.99,29.57
86,4640,261,14.71,17.35
318,40685,1799,43.15,63.64
63,2553,87,14.76,16.33
34,1184,36,10.28,11.04
61,6384,99,19.45,20.62
99,3169,318,21.77,25.01
286,7871,765,36.97,40.28
208,12604,562,38.82,44.85
280,5988,1893,24.89,30.19
86,2235,197,19.3,21.03
119,2139,265,14.22,16.19
14,148,31,5.19,5.03
57,1049,221,10.22,11.47
238,6296,734,29.71,33.08
43,1187,133,13.04,12.68
276,7365,967,29.58,32.82
111,3444,212,17.87,20.04
18,163,15,5.83,5.72
4,88,2,3.0,3.0
161,4325,1134,24.5,29.98
75,1755,67,18.26,19.05
6,76,0,3.87,3.77
94,4772,115,21.93,24.47
55,762,289,7.35,7.27
45,664,53,11.04,11.54
548,13717,3318,44.88,51.64
16,605,5,6.39,6.61
13,248,7,4.79,4.73
25,1158,21,8.78,9.06
15,3795,12,8.34,8.4
6,184,3,4.0,4.0
8,315,4,3.5,3.67
9,539,7,3.73,3.83
2,82,0,2.0,2.0
2,63,0,2.0,2.0
1,56,0,1.0,1.0
10,640,12,4.89,4.99
17,718,27,5.95,5.39
7,310,1,2.41,2.49
24,1166,57,9.76,9.54
59,4748,81,15.8,15.97
320,46118,835,45.66,52.99
90,9151,333,12.29,15.53
285,55562,950,47.37,58.68
220,20487,842,30.23,38.87
5,172,4,2.52,2.7
7,364,4,4.11,4.04
46,486,20,9.56,9.76
87,2430,118,13.03,15.46
2,142,1,2.0,2.0
3,197,2,3.0,3.0
3,197,2,3.0,3.0
5,24,1,2.11,2.12
6,101,1,3.12,3.1
8,156,2,3.36,3.31
12,73,2,3.65,3.69
30,1678,46,7.24,8.18
459,7500,534,36.62,36.7
2,18,1,1.0,1.0
17,357,12,5.96,6.03
21,364,36,8.02,8.5
6,120,1,2.95,2.97
12,354,32,5.52,5.54
41,488,30,6.67,7.56
3,42,0,2.13,2.15
2,18,1,2.0,2.0
4,19,1,1.0,1.0
3,25,0,2.0,2.0
3,23,0,2.9,2.91
130,6301,879,21.49,29.29
158,7746,560,34.21,39.01
195,10800,643,26.5,32.89
18,198,17,6.85,6.46
68,2788,288,14.72,17.27
224,16233,1329,31.7,39.86
45,1836,51,6.69,7.35
35,2176,26,11.48,12.03
4,164,2,2.41,2.49
2,9,0,1.0,1.0
5,134,3,3.09,3.16
23,875,18,5.44,5.81
5,93,0,2.39,2.34
6,411,6,3.24,3.32
18,1171,17,5.16,5.64
27,1002,24,7.54,7.76
133,6565,239,20.36,23.94
60,5973,116,13.13,14.44
87,6304,159,16.1,17.7
3,43,3,2.0,2.0
33,684,59,8.67,9.37
5,57,4,2.18,2.2
4,43,3,2.0,2.0
3,16,1,2.53,2.5
3,14,1,1.0,1.0
2,14,1,1.0,1.0
2,14,1,1.0,1.0
105,4059,124,21.92,23.55
285,12117,525,29.18,32.83
63,1445,95,10.49,11.64
43,962,88,10.26,11.56
31,1497,48,9.55,9.91
9,151,11,3.99,4.0
12,191,7,2.99,2.99
3,17,0,2.51,2.55
13,411,14,5.41,5.41
28,281,25,9.64,9.49
5,49,1,2.9,2.9
83,2651,242,14.9,17.37
379,229654,1578,103.73,121.46
38,1535,17,14.49,14.49
189,8758,677,23.7,29.91
28,655,108,7.45,9.73
19,288,15,3.99,4.01
21,1485,48,5.23,5.44
11,65,6,3.09,2.95
9,294,4,3.09,3.02
23,391,16,6.36,6.13
4,71,3,3.0,3.0
17,264,27,5.92,5.99
76,3994,222,17.17,18.76
33,706,131,10.77,11.24
223,10495,960,36.12,43.29
93,15279,296,24.57,28.57
156,9114,508,31.81,36.57
188,31293,695,30.86,39.35
43,740,138,11.61,11.94
46,941,152,11.21,12.25
170,11547,446,26.11,28.44
45,2664,117,13.54,15.61
1,12,0,1.0,1.0
18,1034,22,8.16,8.45
24,1097,26,9.09,9.06
1,12,0,1.0,1.0
5,54,3,1.49,1.53
67,3896,96,14.58,15.59
20,578,13,7.07,7.35
85,4888,153,15.01,17.63
92,2606,48,12.72,13.54
5,23,0,2.07,2.11
16,468,15,6.06,6.22
28,1795,46,8.68,9.38
4,120,1,2.36,2.56
106,11390,316,22.72,25.82
37,2195,69,11.67,12.27
470,17596,3469,51.01,63.22
149,10025,751,24.7,30.21
30,511,22,5.67,5.8
14,331,20,5.99,6.36
245,9792,1365,35.13,41.69
14,243,9,4.86,5.06
84,7169,190,17.76,20.04
48,4000,40,14.25,14.75
59,2278,59,9.88,10.94
19,557,4,5.72,5.99
17,603,2,6.48,6.39
13,391,2,3.03,3.13
12,119,5,4.27,4.17
24,357,28,8.25,8.59
51,251,6,5.36,5.33
50,6943,27,11.21,11.99
157,1760,226,21.97,22.7
39,254,62,7.12,7.74
19,737,11,6.85,7.24
51,1025,7,9.48,9.78
14,178,3,3.88,3.84
48,15200,36,14.19,14.51
3,101,0,2.05,2.04
2,24,0,2.0,2.0
17,2324,7,6.08,6.15
7,72,1,3.18,3.19
53,1570,50,8.36,9.05
49,11922,36,11.67,12.84
3,24,0,2.0,2.0
4,43,0,2.29,2.26
23,516,12,5.43,5.72
234,41351,459,32.13,36.62
71,4679,131,10.88,13.57
2,24,0,2.0,2.0
32,267,26,6.82,7.26
165,5611,151,16.79,19.94
232,6280,110,19.46,21.22
3,25,1,2.0,2.0
2,24,0,2.0,2.0
2,24,0,2.0,2.0
4,25,1,3.0,3.0
2,24,0,2.0,2.0
2,24,0,2.0,2.0
65,2898,55,11.16,12.85
2,24,0,2.0,2.0
16,143,3,3.87,3.85
40,98,7,4.22,4.19
104,653,382,7.54,8.37
359,6359,1172,32.82,36.29
69,1379,59,15.19,15.01
22,295,5,3.24,3.44
58,1785,71,9.54,10.62
198,7017,342,33.77,35.37
23,1097,15,8.1,8.41
84,2033,106,12.84,13.02
2,24,0,2.0,2.0
115,27574,218,32.63,34.3
41,2640,31,13.19,14.66
5,1036,3,3.02,3.0
84,2090,184,15.2,17.48
4,62,0,2.99,3.0
67,2794,100,13.16,14.92
42,1632,56,14.39,15.04
123,3781,328,21.28,23.18
174,14358,591,29.14,36.18
78,4492,195,19.9,22.29
12,157,8,4.36,4.44
86,5821,92,22.85,24.81
79,2788,138,16.9,17.56
919,44110,3515,94.8,108.25
241,7871,251,36.8,40.19
102,16344,103,14.69,16.85
178,7667,194,28.91,30.8
210,20686,235,28.51,34.67
70,5119,64,9.48,11.14
640,33477,2056,50.89,69.39
543,83574,3672,70.58,98.83
21,150,7,5.5,5.33
9,59,3,3.91,3.88
53,1338,70,13.2,13.75
10,45,4,4.25,4.34
583,30915,2055,54.07,68.14
7,190,3,3.84,3.84
45,1929,135,13.35,14.55
14,199,13,6.29,6.18
97,2536,260,21.88,24.13
181,6012,390,26.59,30.24
35,706,69,9.27,9.56
45,762,27,8.58,8.94
68,891,154,11.9,12.8
217,7428,920,26.59,34.35
14,2149,7,5.01,5.16
7,60,5,3.51,3.51
4,58,3,3.0,3.0
1,20,0,1.0,1.0
19,1308,28,8.45,8.52
1256,60408,7393,76.11,91.54
1168,59685,6932,60.93,77.74
11,150,5,3.72,3.83
18,214,12,4.31,4.5
51,2054,116,12.1,13.6
55,1157,31,10.37,10.58
22,554,26,6.88,6.89
29,2297,54,7.88,8.57
1,0,0,0.0,0.0
22,804,35,6.31,6.84
41,554,73,7.02,7.13
19,73,1,5.15,5.22
10,33,1,2.17,1.99
1022,46411,3724,65.77,88.64
182,3775,308,23.68,25.34
18,372,29,5.19,5.97
23,330,14,4.98,5.35
40,1330,47,10.76,12.02
2,34,1,2.0,2.0
16,1014,30,7.32,7.64
195,12604,320,34.5,36.54
79,1637,194,13.33,15.41
130,6259,544,24.9,29.84
24,82,0,4.22,4.23
9,43,10,3.38,3.22
112,3530,440,17.92,21.77
86,2511,318,14.44,16.51
3,60,2,1.69,1.72
1,13,0,1.0,1.0
7,224,7,4.16,4.22
10,233,19,3.15,4.74
11,271,19,3.97,4.0
18,15,1,2.68,2.69
5,4,0,1.13,1.09
39,1872,8,10.91,11.15
5,4,0,1.1,1.07
7,15,4,1.89,1.95
544,1613,13,12.07,11.98
2,23,1,2.0,2.0
8,183,8,3.36,3.55
8,206,12,3.32,3.32
9,216,15,4.11,4.01
29,706,7,7.08,7.18
14,412,17,5.02,5.25
3,37,1,2.0,2.0
10,1107,8,4.56,4.55
40,2473,96,8.0,9.31
57,17612,127,16.02,17.08
245,44043,1103,43.46,65.66
12,105,7,5.02,5.02
125,11175,504,24.36,28.37
3,66,0,2.0,2.0
17,617,6,5.05,5.28
4,114,2,3.54,3.47
3,65,0,2.0,2.0
1,65,0,1.0,1.0
2,65,0,1.0,1.0
3,253,0,1.72,1.68
2,65,0,1.0,1.0
2,65,0,1.0,1.0
8,205,1,2.55,2.52
19,875,7,6.58,6.52
27,2002,43,8.57,9.43
66,5497,147,16.4,18.44
